Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
1125,Exit Long,Close entry(s) order Long,20-09-2024 13:36,215.8,1,250,0.09,1082125,0.01,1875,0.7,5000,1.86
1125,Entry Long,Long,19-09-2024 21:30,215.6,1,250,0.09,1082125,0.01,1875,0.7,5000,1.86
1124,Exit Short,Close entry(s) order Short,18-09-2024 23:18,212.8,1,3750,1.39,1081875,0.18,6875,2.55,125,0.05
1124,Entry Short,Short,18-09-2024 19:24,215.8,1,3750,1.39,1081875,0.18,6875,2.55,125,0.05
1123,Exit Long,Close entry(s) order Long,18-09-2024 19:24,215.8,1,-3250,-1.19,1078125,-0.16,375,0.14,3625,1.33
1123,Entry Long,Long,18-09-2024 17:45,218.4,1,-3250,-1.19,1078125,-0.16,375,0.14,3625,1.33
1122,Exit Short,Close entry(s) order Short,18-09-2024 12:27,214.2,1,625,0.23,1081375,0.03,875,0.33,500,0.19
1122,Entry Short,Short,18-09-2024 09:03,214.7,1,625,0.23,1081375,0.03,875,0.33,500,0.19
1121,Exit Long,Close entry(s) order Long,17-09-2024 12:48,219.9,1,4250,1.57,1080750,0.2,5375,1.99,1750,0.65
1121,Entry Long,Long,16-09-2024 19:45,216.5,1,4250,1.57,1080750,0.2,5375,1.99,1750,0.65
1120,Exit Short,Long,16-09-2024 19:45,216.5,1,-875,-0.32,1076500,-0.04,0,0,1500,0.56
1120,Entry Short,Short,16-09-2024 19:39,215.8,1,-875,-0.32,1076500,-0.04,0,0,1500,0.56
1119,Exit Long,Close entry(s) order Long,16-09-2024 19:39,215.8,1,-750,-0.28,1077375,-0.04,0,0,1125,0.42
1119,Entry Long,Long,16-09-2024 19:33,216.4,1,-750,-0.28,1077375,-0.04,0,0,1125,0.42
1118,Exit Short,Close entry(s) order Short,16-09-2024 12:30,211.4,1,2375,0.89,1078125,0.11,4000,1.5,1500,0.56
1118,Entry Short,Short,13-09-2024 22:15,213.3,1,2375,0.89,1078125,0.11,4000,1.5,1500,0.56
1117,Exit Long,Close entry(s) order Long,13-09-2024 10:30,218.6,1,9625,3.65,1075750,0.47,12125,4.6,1375,0.52
1117,Entry Long,Long,12-09-2024 19:51,210.9,1,9625,3.65,1075750,0.47,12125,4.6,1375,0.52
1116,Exit Short,Long,12-09-2024 19:51,210.9,1,-4125,-1.59,1066125,-0.2,500,0.19,4250,1.64
1116,Entry Short,Short,12-09-2024 18:51,207.6,1,-4125,-1.59,1066125,-0.2,500,0.19,4250,1.64
1115,Exit Long,Close entry(s) order Long,10-09-2024 20:36,208,1,1750,0.68,1070250,0.08,3625,1.4,625,0.24
1115,Entry Long,Long,10-09-2024 17:06,206.6,1,1750,0.68,1070250,0.08,3625,1.4,625,0.24
1114,Exit Short,Close entry(s) order Short,09-09-2024 22:27,203.1,1,6125,2.36,1068500,0.3,7250,2.79,0,0
1114,Entry Short,Short,09-09-2024 18:36,208,1,6125,2.36,1068500,0.3,7250,2.79,0,0
1113,Exit Long,Close entry(s) order Long,09-09-2024 18:36,208,1,-625,-0.24,1062375,-0.03,125,0.05,875,0.34
1113,Entry Long,Long,09-09-2024 18:33,208.5,1,-625,-0.24,1062375,-0.03,125,0.05,875,0.34
1112,Exit Short,Close entry(s) order Short,09-09-2024 12:45,205.5,1,-750,-0.29,1063000,-0.04,750,0.29,1375,0.54
1112,Entry Short,Short,09-09-2024 09:03,204.9,1,-750,-0.29,1063000,-0.04,750,0.29,1375,0.54
1111,Exit Long,Close entry(s) order Long,06-09-2024 09:24,209.9,1,8000,3.14,1063750,0.39,10625,4.18,1875,0.74
1111,Entry Long,Long,05-09-2024 17:33,203.5,1,8000,3.14,1063750,0.39,10625,4.18,1875,0.74
1110,Exit Short,Close entry(s) order Short,05-09-2024 12:48,199.8,1,2375,0.94,1055750,0.12,4875,1.93,375,0.15
1110,Entry Short,Short,04-09-2024 21:33,201.7,1,2375,0.94,1055750,0.12,4875,1.93,375,0.15
1109,Exit Long,Close entry(s) order Long,04-09-2024 14:33,203.7,1,875,0.34,1053375,0.04,3750,1.48,375,0.15
1109,Entry Long,Long,03-09-2024 21:48,203,1,875,0.34,1053375,0.04,3750,1.48,375,0.15
1108,Exit Short,Close entry(s) order Short,03-09-2024 21:21,200.2,1,625,0.25,1052500,0.03,7125,2.84,500,0.2
1108,Entry Short,Short,03-09-2024 17:33,200.7,1,625,0.25,1052500,0.03,7125,2.84,500,0.2
1107,Exit Long,Close entry(s) order Long,30-08-2024 14:30,200.2,1,3125,1.26,1051875,0.15,4750,1.92,0,0
1107,Entry Long,Long,29-08-2024 21:45,197.7,1,3125,1.26,1051875,0.15,4750,1.92,0,0
1106,Exit Short,Close entry(s) order Short,29-08-2024 20:45,196.3,1,-1250,-0.51,1048750,-0.06,6000,2.46,1500,0.61
1106,Entry Short,Short,29-08-2024 16:45,195.3,1,-1250,-0.51,1048750,-0.06,6000,2.46,1500,0.61
1105,Exit Long,Close entry(s) order Long,29-08-2024 10:09,198.4,1,-375,-0.15,1050000,-0.02,1375,0.55,1500,0.6
1105,Entry Long,Long,28-08-2024 22:03,198.7,1,-375,-0.15,1050000,-0.02,1375,0.55,1500,0.6
1104,Exit Short,Close entry(s) order Short,22-08-2024 09:06,218.2,1,875,0.32,1050375,0.04,5750,2.1,2125,0.78
1104,Entry Short,Short,21-08-2024 18:12,218.9,1,875,0.32,1050375,0.04,5750,2.1,2125,0.78
1103,Exit Long,Close entry(s) order Long,21-08-2024 18:12,218.9,1,-2125,-0.77,1049500,-0.1,2000,0.73,2125,0.77
1103,Entry Long,Long,21-08-2024 16:06,220.6,1,-2125,-0.77,1049500,-0.1,2000,0.73,2125,0.77
1102,Exit Short,Long,21-08-2024 16:06,220.6,1,-2250,-0.82,1051625,-0.11,875,0.32,2250,0.82
1102,Entry Short,Short,21-08-2024 14:18,218.8,1,-2250,-0.82,1051625,-0.11,875,0.32,2250,0.82
1101,Exit Long,Close entry(s) order Long,19-08-2024 22:18,222.1,1,3750,1.37,1053875,0.18,5500,2.01,1250,0.46
1101,Entry Long,Long,19-08-2024 18:42,219.1,1,3750,1.37,1053875,0.18,5500,2.01,1250,0.46
1100,Exit Short,Close entry(s) order Short,19-08-2024 13:48,212.7,1,7250,2.65,1050125,0.35,7625,2.79,625,0.23
1100,Entry Short,Short,16-08-2024 17:03,218.5,1,7250,2.65,1050125,0.35,7625,2.79,625,0.23
1099,Exit Long,Close entry(s) order Long,14-08-2024 22:27,223.6,1,4500,1.64,1042875,0.22,7875,2.86,375,0.14
1099,Entry Long,Long,14-08-2024 18:30,220,1,4500,1.64,1042875,0.22,7875,2.86,375,0.14
1098,Exit Short,Close entry(s) order Short,14-08-2024 09:45,217,1,1125,0.41,1038375,0.06,3500,1.28,0,0
